2025-07-19 17:48:42,332 | ERROR | \u274c Failed to process ttc-subway-delay-may-december-2017.csv (.csv): 'utf-8' codec can't decode byte 0xfa in position 0: invalid start byte
2025-07-19 17:48:44,470 | INFO | Read CSV file Code Descriptions.csv.csv with utf-8 encoding
2025-07-19 17:48:44,483 | INFO | \u2705 Cleaned and saved Code Descriptions.csv.csv
2025-07-19 17:48:44,535 | INFO | Read CSV file Code Descriptions.json.csv with utf-8 encoding
2025-07-19 17:48:44,718 | INFO | \u2705 Cleaned and saved Code Descriptions.json.csv
2025-07-19 17:48:44,723 | INFO | Read CSV file Code Descriptions.xml.csv with utf-8 encoding
2025-07-19 17:48:44,728 | INFO | \u2705 Cleaned and saved Code Descriptions.xml.csv
2025-07-19 17:48:44,757 | INFO | Read CSV file TTC Subway Delay Data since 2025.csv.csv with utf-8 encoding
2025-07-19 17:48:44,846 | INFO | \u2705 Cleaned and saved TTC Subway Delay Data since 2025.csv.csv
2025-07-19 18:19:50,505 | INFO | Found 13 CSV files to clean in data\raw\ttc-subway-delay-data-format_converted
2025-07-19 18:19:50,561 | INFO | Cleaned and saved Code_Descriptions.xml.csv to data\processed\ttc-subway-delay-data\Code_Descriptions.xml.csv
2025-07-19 18:19:50,577 | INFO | Cleaned and saved ttc-subway-delay-codes.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-codes.csv
2025-07-19 18:19:50,624 | INFO | Cleaned and saved ttc-subway-delay-data-2018.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2018.csv
2025-07-19 18:19:50,672 | INFO | Cleaned and saved ttc-subway-delay-data-2019.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2019.csv
2025-07-19 18:19:50,699 | INFO | Cleaned and saved ttc-subway-delay-data-2020.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2020.csv
2025-07-19 18:19:50,730 | INFO | Cleaned and saved ttc-subway-delay-data-2021.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2021.csv
2025-07-19 18:19:50,936 | INFO | Cleaned and saved ttc-subway-delay-data-2022.csv to data\processed\ttc-subway-delay-data\ttc-subway-delay-data-2022.csv
